Dataset,Run,Checkpoint,Training_Type,Method,CMC_Type,Input_Type,Misclassification_Count,S1_Train_loss,S1_Train_acc,S1_Val_loss,S1_Val_acc,S1_Test_loss,S1_Test_acc,S2_Train_loss,S2_Train_acc,S2_Val_loss,S2_Val_acc,S2_Test_loss,S2_Test_acc,S3_Train_loss,S3_Train_acc,S3_Val_loss,S3_Val_acc,S3_Test_loss,S3_Test_acc,Solve_Time
CIFAR10,5,./checkpoints_SAP/CIFAR10_CO/Run5_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.4314041140079498,85.4525,0.5205621725082398,82.53,0.516309328365326,82.74,0.42851578607559204,85.4525,0.5196556057929993,82.5,0.5265183630466461,82.37,0.3720424940109253,87.515,0.4687359383583069,84.29,0.46426401162147524,84.38,264.3183581829071
MNIST,1,./checkpoints_SAP/MNIST_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.026275988432889183,99.19791666666667,0.05054606499771277,98.59166666666667,0.04600572193078697,98.48,0.02619219461704294,99.19375,0.05052166788776716,98.59166666666667,0.04594592007696629,98.46,0.01667224187015866,99.5125,0.05196625590821107,98.48333333333333,0.05198699308829382,98.35,27.824122667312622
MNIST,2,./checkpoints_SAP/MNIST_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.022592321934488912,99.41041666666666,0.07680735075722138,98.10833333333333,0.06866147742532194,98.2,0.022799115290865302,99.40416666666667,0.07701412219802539,98.09166666666667,0.06892887649089098,98.19,0.025685175236935417,99.2625,0.07956510528922081,98.075,0.07201478855907917,98.08,26.618340492248535
MNIST,3,./checkpoints_SAP/MNIST_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.020182051458706458,99.37083333333334,0.05547365168047448,98.48333333333333,0.04975676261022454,98.65,0.020191186431019255,99.3625,0.055489509946356215,98.48333333333333,0.04974095096193487,98.65,0.015008259601037329,99.50833333333334,0.055729428856012724,98.55,0.04967148449774832,98.58,14.77468991279602
MNIST,4,./checkpoints_SAP/MNIST_CO/Run4_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.024816173067937295,99.32708333333333,0.0841472046772639,97.75,0.07655211197277531,98.05,0.02482829329930246,99.32916666666667,0.08414965237180393,97.74166666666666,0.07657466791337356,98.05,0.014277548245464762,99.59166666666667,0.0927627622683843,97.875,0.07577801681146958,98.2,70.76389384269714
MNIST,5,./checkpoints_SAP/MNIST_CO/Run5_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.025847496401208144,99.19166666666666,0.05328558629006147,98.425,0.03960508885998279,98.66,0.025770307917768756,99.19166666666666,0.0532101075053215,98.425,0.039528108304925265,98.66,0.018552955931052564,99.43125,0.04873538134495417,98.54166666666667,0.038667437349981626,98.79,49.975775480270386
Caltech101,1,./checkpoints_SAP/Caltech101_CO/Run1_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.014456703729213394,99.88474836726854,0.45660429970747135,89.54650269023828,0.43496409087425114,89.85707699400645,0.01639241205161288,99.84633115635805,0.45943559033883524,89.54650269023828,0.4426698354379875,89.58045182111572,0.009654522724442479,99.92316557817902,0.44329269670184807,89.85395849346656,0.45966165785198115,89.90318118948824,3702.8546776771545
Caltech101,2,./checkpoints_SAP/Caltech101_CO/Run2_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.005318859217565362,100.0,0.3997884128159692,91.00691775557263,0.5411613962517294,88.8427846934071,0.00781141910766392,99.98079139454475,0.407491559802707,90.62259800153728,0.5517430631946232,88.65836791147994,0.005297375761174292,100.0,0.4480854325299992,90.16141429669484,0.5185470327686856,88.79668049792531,3696.4941942691803
Caltech101,3,./checkpoints_SAP/Caltech101_CO/Run3_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.010505817286724593,99.84633115635805,0.44820692232716186,89.62336664104535,0.4612980019721967,89.90318118948824,0.010808339235854066,99.8271225509028,0.45032648144319914,89.62336664104535,0.45974788725128807,89.85707699400645,0.012300970827458664,99.92316557817902,0.49872919516229886,88.77786318216756,0.49003175877931204,88.61226371599815,3699.6981620788574
Caltech101,4,./checkpoints_SAP/Caltech101_CO/Run4_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.04207035048556726,99.44295044179792,0.47223722742302066,89.31591083781706,0.477479535019744,88.56615952051636,0.04281275777795248,99.40453323088744,0.46959751285469414,89.31591083781706,0.47921059064570526,88.61226371599815,0.008166826498643554,99.98079139454475,0.4997658043023167,89.4696387394312,0.4795297176511456,89.94928538497003,3710.2483003139496
Caltech101,5,./checkpoints_SAP/Caltech101_CO/Run5_checkpoint_CMC_Any_1.pth,SAP,CMC,Any,t,1,0.020541640438276828,99.78870533999232,0.44078760070126394,89.23904688700999,0.43408971214250464,89.48824343015214,0.0218126465739268,99.73107952362659,0.4431369745392327,89.31591083781706,0.43809743068250107,89.44213923467035,0.016415893335268904,99.8271225509028,0.4682980497739207,89.4696387394312,0.48561569500101387,88.88888888888889,3701.485105276108
Caltech101,1,./checkpoints_SAP/Caltech101_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.01439950889376462,99.88474836726854,0.4564625875341443,89.4696387394312,0.4330111770599105,89.81097279852466,0.04844092982282695,99.38532462543219,0.5077463823680599,88.93159108378171,0.4806094297125022,88.88888888888889,0.012286237356923106,99.92316557817902,0.4781918503246703,89.23904688700999,0.43662820252859963,89.58045182111572,3688.164222717285
KMNIST,1,./checkpoints_SAP/KMNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.0007436922162620855,99.98125,0.031481720120413226,99.35,0.12632292856306304,97.43,0.0010243054444763402,99.96875,0.03212812567393606,99.30833333333334,0.13216124182512284,97.31,3.2615129220327316e-06,100.0,0.024341915961316164,99.51666666666667,0.10542995609303471,98.01,3651.624890089035
KMNIST,2,./checkpoints_SAP/KMNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.002796802083820997,99.91458333333334,0.028386310510259742,99.33333333333333,0.1054716769810766,97.71,0.0028686433341305623,99.91041666666666,0.02848049104019689,99.325,0.10557919499836863,97.7,4.0289309051028496e-06,100.0,0.02014573067109571,99.56666666666666,0.08963770999268746,98.24,3639.625206232071
KMNIST,3,./checkpoints_SAP/KMNIST_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,5.287585558107821e-06,100.0,0.021745441480226873,99.575,0.10698627112096874,98.0,0.00015677125457583922,99.99166666666666,0.024901732934017977,99.51666666666667,0.11360913760304683,97.94,3.2324175392280572e-06,100.0,0.024015949471412265,99.55,0.1073796755908057,98.16,3640.479766845703
FashionMNIST,1,./checkpoints_SAP/FashionMNIST_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.1394004438817501,94.925,0.2064355838696162,92.80833333333334,0.2170923121392727,92.19,0.15361006743709246,94.45,0.22025857190291087,92.34166666666667,0.23300786175727844,91.7,0.08210832061370214,97.11666666666666,0.2139897756576538,92.675,0.2304392577767372,92.64,3644.2963569164276
FashionMNIST,2,./checkpoints_SAP/FashionMNIST_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.09296469805389643,96.83333333333333,0.19855725729465484,93.375,0.21343288526535034,92.63,0.09732300327221552,96.72291666666666,0.20121147418022156,93.175,0.21632717512249947,92.59,0.07800794886052609,97.11458333333333,0.2292557759086291,92.73333333333333,0.2523947330594063,91.92,3643.231576681137
FashionMNIST,3,./checkpoints_SAP/FashionMNIST_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.10957817057768504,96.07083333333334,0.19452420842647553,93.19166666666666,0.20854895505905152,92.53,0.10962346921364466,96.05416666666666,0.19515885893503826,93.15833333333333,0.2091195596754551,92.5,0.0635520914842685,97.72916666666667,0.2312228167851766,92.85833333333333,0.23973433518409729,92.59,3648.3760907649994
USPS,1,./checkpoints_SAP/USPS_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.002500819475988063,99.98285322359396,0.033596850496005214,99.039780521262,0.13947639590770555,96.51220727453911,0.003095260964027371,99.94855967078189,0.0328771050531412,99.17695473251028,0.14227977074686424,96.56203288490283,0.00398509499454195,99.91426611796982,0.03703489779036068,99.17695473251028,0.13286807531825956,96.96063776781266,3636.4848444461823
USPS,2,./checkpoints_SAP/USPS_CO/Run2_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.006924398795222328,99.86282578875172,0.03731406245949782,98.97119341563786,0.16298091089873615,96.46238166417538,0.019064398950498565,99.65706447187928,0.04929878840680312,99.039780521262,0.17350193870211633,96.26307922272048,0.0015179260922139539,99.98285322359396,0.022426819949716185,99.38271604938272,0.12875468665144607,97.11011459890383,3641.8567383289337
USPS,3,./checkpoints_SAP/USPS_CO/Run3_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.0035004003169219456,99.91426611796982,0.024491422663382747,99.24554183813443,0.13557969232326011,96.81116093672148,0.05804760581896792,99.519890260631,0.08444469302524756,98.42249657064473,0.18187707190378186,96.51220727453911,0.0008766496115957509,99.98285322359396,0.025159291340490428,99.38271604938272,0.11741427073322931,97.50871948181366,3639.047246694565
Food101,1,./checkpoints_SAP/Food101_CO/Run1_checkpoint_CMC_Correct_1.pth,SAP,CMC,Correct,t,1,0.839111811319987,72.65,1.389165997505188,57.666666666666664,1.1705585155487062,62.88,0.8411491096814473,72.61666666666666,1.3912082924842835,57.4,1.173122480392456,62.88,0.08427400901913643,97.48333333333333,1.3768161032994588,65.93333333333334,1.1359443237304687,70.16,3626.7545640468597
